# Language (id,label)
	LANGUAGE=thai,Thai
	ICON=Icons/thaiPC.png
	ORDER=0

# Font (Face, Base Size)
	FONT=K2D,64

# Done loading Meta Data
	BEGIN=true

# Auto-Saving
	AUTOSAVING_TITLE_NS=
		เกมนี้มีการบันทึกอัตโนมัติ 
	AUTOSAVING_DESC_NS=
		กรุณาอย่าปิดเครื่อง เมื่อไอคอนนี้ปรากฏขึ้น
		แปลภาษาไทยโดย zerlkung@modmycon
	AUTOSAVING_TITLE_PS4=
		เกมนี้มีการบันทึกอัตโนมัติ 
	AUTOSAVING_DESC_PS4=
		กรุณาอย่าปิดเครื่อง เมื่อไอคอนนี้ปรากฏขึ้น
		แปลภาษาไทยโดย zerlkung@modmycon
	AUTOSAVING_TITLE_XB1=
		เกมนี้มีการบันทึกอัตโนมัติ 
	AUTOSAVING_DESC_XB1=
		กรุณาอย่าปิดเครื่อง เมื่อไอคอนนี้ปรากฏขึ้น
		แปลภาษาไทยโดย zerlkung@modmycon
	AUTOSAVING_TITLE_PC=
		เกมนี้มีการบันทึกอัตโนมัติ 
	AUTOSAVING_DESC_PC=
		กรุณาอย่าปิดเครื่อง เมื่อไอคอนนี้ปรากฏขึ้น
		แปลภาษาไทยโดย zerlkung@modmycon

# Main Menu
	MENU_DEBUG=		~DEBUG~
		[MADELINE_MIRROR left determinedclosed flip]
		...
		Breathe.
		
		[MADELINE_MIRROR left determined flip]
		This is all coming from inside me.
		Get up, {+MADELINE}.

		{trigger 2 Madeline gets up}

		[MADELINE_MIRROR left determinedclosed flip]
		Think of the feather.
		You can save {+theo}.

	CH5_SEE_THEO=
		[MADELINE left normal]
		{+theo}! Thank God I found you.
		
		[THEO right excited]
		{+MADELINE}! Wow, am I happy to see you.

		{trigger 0 zoom in}

		[MADELINE left sad]
		Are you alright?
		
		[THEO right serious]
		Yeah, I'm fine. 	

		[THEO right thinking]
		I've just been stuck in this... crystal thing for ages.

		[THEO right wtf]
		Do you get the feeling that this place{n}knows you better than you know yourself?
		
		[MADELINE left distracted]
		Yeah...
		I'm so embarrassed that you{n}have to see this side of me.

		[MADELINE left upset]
		I tried to stop you.
		I hope that selfie was worth it.

		[THEO right yolo]
		Selfies are always worth it, dude.

		[MADELINE left distracted]
		I shouldn't be mad, this isn't your fault.

		[MADELINE left sad]
		I'm glad you're safe, but{n}you're trapped because of me.

		{trigger 1 Madeline turns around}

		[MADELINE left distracted flip]
		And now this temple is showing{n}you what I'm really like.
		I'm horrible...

		{trigger 2 wait a bit}

		[THEO right thinking]
		Hey, we're in this together.

		[THEO right wtf]
		Don't act like this is all on you.

		{trigger 3 Madeline turns back, zoom out, room gets brighter}

		[MADELINE left sad]
		What do you mean?

		[THEO right wtf]
		You didn't trap me in this crystal.
		Sure, those monsters are coming from you,{n}but the temple is shaping itself around me too.

		[THEO right worried]
		I can {*}feel{/*} it.
		These {~}eyes{/~} are staring at me...

		[THEO right wtf]
		And this crystal is coming from me, I know it.

		[THEO right serious]
		I hate to ask, but I really need your help right now.

		{trigger 0 zoom back in}

		[MADELINE left sad]
		...
		
		[MADELINE left distracted]
		Okay.

		[MADELINE left normal]
		I've got your back.
		I'll bust you out of that thing,{n}then we'll escape together.

		[MADELINE left sad]
		Just as soon as I find my way around to you...
		
		[THEO right serious]
		{+MADELINE}, you're my only hope right now.
		I believe in you, for real.

		[MADELINE left distracted]
		I hope that's not a mistake.

	CH5_SEE_THEO_B=
		[MADELINE left distracted]
		If the temple is showing me who I really am...

		[MADELINE left sad]
		...then I deserve this, don't I?

		[THEO right wtf]
		{+ALEX}, you have to stop being so hard on yourself.

		[MADELINE left sad]
		...
		Who's {+ALEX}?

		[THEO right thinking]
		Sorry, I meant {+MADELINE}.

		[THEO right wtf]
		But my comment still stands.
		No one deserves this, least of all you.

		[MADELINE left sad]
		Yeah... you're right.

		[MADELINE left determinedclosed]
		Okay, I can do this.

	CH5_FOUND_THEO=
		[MADELINE left normal]
		{+theo}! I finally found you.
		
		[THEO right excited]
		I knew you'd make it!

		[MADELINE left sad]
		It wasn't easy...

		[MADELINE left distracted]
		Are those monsters really coming from inside me?
		
		[THEO right thinking]
		{+MADELINE}, that's a valid question.
		I'll be happy to discuss how the{n}monsters relate to your inner self...

		[THEO right wtf]
		But right now, {~}my{/~} inner self is real{n}sick of being stuck in this crystal.
		
		[MADELINE left sad]
		Oh, right.

		[MADELINE left normal]
		Don't worry, I'll break you out!

		{trigger 0 Attempt to break the crystal, but it just falls to the ground}
		
		[THEO right thinking]
		Well, this is a solid start, but...
		
		[THEO right wtf]
		This crystal is, like, an expression of my{n}negative psychic energy... or whatever.

		[MADELINE left sad]
		Yeah, but how do we break it?

		[THEO right serious]
		If I knew {~}why{/~} I trapped myself in{n}this thing, maybe I could bust out.

		[THEO right wtf]
		But I don't.

		[THEO right thinking]
		And I don't think I can get to the bottom of it{n}while we're stuck in this nightmare dimension.
		
		[THEO right serious]
		I hate to say it, but you might have to-
		
		[MADELINE left angry]
		{+theo}, don't even think about that!
		I am {*}not{/*} leaving you behind!
		
		[THEO right worried]
		{~}Hell no{/~}, you better not leave me in this place!

		[THEO right thinking]
		I was gonna say you might have to carry me.
		
		[MADELINE left sad]
		Oh.
		
		[MADELINE left normal]
		Yeah, I can do that.

	CH5_THEO_SAVING_LIFT=
		[THEO left thinking]
		Dang girl, you can lift.

	CH5_THEO_SAVING_A=
		[THEO left excited]
		{~}Alright{/~}, you got this!

	CH5_THEO_SAVING_NICE=
		[THEO left thinking]
		Crushing it! That door didn't stand a chance.

	CH5_THEO_SAVING_B=
		[THEO left worried]
		Uh oh... I hope you know how to deal with these things.

	CH5_THEO_SAVING_C=
		[THEO left worried]
		Another one!? Come on...

	CH5_THEO_SAVING_SWITCH=
		[THEO left thinking]
		{+theo} saves the day again.

	CH5_THEO_SAVING_DUNK=
		[THEO left nailedit]
		I'm helping.

	CH5_THEO_SAVING_REALLY=
		[THEO left thinking]
		Now you're just showing off.

	CH5_THEO_SAVING_D=
		[THEO left excited]
		We have to be close, I can feel it.

	CH5_THEO_SAVING_E=
		[THEO left worried]
		Just a bit further. You can do this {+MADELINE}.

	CH5_BSIDE_THEO_A=
		[THEO left excited]
		It's the temple remix, featuring your boy {+MIXMASTER_THEO}!

	CH5_BSIDE_THEO_B=
		[THEO left wtf]
		This isn't canon, is it?

	CH5_BSIDE_THEO_C=
		[THEO left wtf]
		Uhh, this one is clearly impossible.

# *** Chapter 06 ***

	CH6_THEO_INTRO=
		[MADELINE right normal]
		{+theo}, you're awake!

		[THEO left thinking]
		Am I? I'm skeptical...

		[THEO left wtf]
		I had a {~}messed up{/~} nightmare.
		
		[MADELINE right distracted]
		Yeah, about that...

		[THEO left wtf]
		Wait...

		[THEO left thinking]
		Oh, yep, it's all coming back to me now.

		[THEO left wtf]
		That actually happened.

		[THEO left serious]
		Thanks for getting us out of there.

		[MADELINE right distracted]
		I'm glad we were in it together.

		[MADELINE right sad]
		I don't know if I could've done that alone.

	CH6_THEO_ASK_OUTFOR=
		[THEO left thinking]
		How long was I out for?
	CH6_THEO_SAY_OUTFOR=
		[THEO left thinking]
		How long was I out for?

		[MADELINE right sad]
		It must've been a few hours...

		[THEO left serious]
		Man, what a ride.

		[MADELINE right upset]
		Tell me about it.

		[MADELINE right sad]
		Are you okay?

		[THEO left thinking]
		I mean, aside from the existential crisis?

		[THEO left wtf]
		Yeah, I'm fine.

	CH6_THEO_ASK_EXPLAIN=
		[THEO left wtf]
		What's really going on here?
	CH6_THEO_SAY_EXPLAIN=
		[THEO left wtf]
		Clearly this isn't a normal {+MOUNTAIN}.
		What's really going on here?

		[MADELINE right sad]
		I should've told you sooner.

		[MADELINE right distracted]
		Back at the old ruins, a...{n}{+PART_OF_ME} escaped from a mirror.
		A part I'm not very proud of.

		[MADELINE right upset]
		I swear I dreamt it.

		[THEO left serious]
		You think the {+MOUNTAIN} made her real?

		[MADELINE right distracted]
		Yeah.
		She's been haunting me the whole time.

		[MADELINE right sad]
		She lashed out at {+MROSHIRO}.

		[MADELINE right distracted]
		I think she was the reason the gondola stalled out.

		[MADELINE right sad]
		And she was there, in the temple.

		[THEO left worried]
		...
		Why didn't you say something?
		I wouldn't have gone into that temple{n}if I knew what this {+MOUNTAIN} was capable of...

		[MADELINE right upset]		
		I tried to stop you.	
		
		[THEO left wtf]
		You could have mentioned that your{n}{+ST_BAD}demon doppelgänger{+END_BAD} was on the loose.
			
		[MADELINE right upset]
		Come on, {+THEO}.
		You know how crazy this sounds.

		[MADELINE right distracted]
		I didn't even believe myself.

		[THEO left wtf]
		Okay, okay.
		I understand.

		[THEO left thinking]
		Next time just {0.3}talk to me, though.
		I promise I'll believe you.

		[MADELINE right distracted]
		Okay.

	CH6_THEO_ASK_THANKYOU=
		[MADELINE right distracted]
		Thank you, for believing in me back there.
	CH6_THEO_SAY_THANKYOU=
		[MADELINE right distracted]
		Thank you, {+THEO}.
		...for believing in me back there, I mean.

		[THEO left wtf]
		Believing in you was the easy part.

		[THEO left thinking]
		I wish I could've helped.

		[THEO left wtf]
		I was pretty useless, stuck in that thing.

		[MADELINE right sad]
		You actually helped a lot.

		[MADELINE right distracted]
		Honestly, I couldn't have made it without your support.

	CH6_THEO_ASK_TRUST=
		[MADELINE right distracted] 
		Why is it so easy for you to trust me?
	CH6_THEO_SAY_TRUST=
		[MADELINE right distracted] 
		Why is it so easy for you to trust me?

		[MADELINE right sad]
		Seriously, you barely know me.

		[THEO left normal]
		Honestly?
		You remind me of my sister.

		[MADELINE right normal]
		That's adorable. 
		What's she like?

		[THEO left excited]
		Oh, you'd love her!

		[THEO left wtf]
		Actually, you might not get along at first...

		[THEO left thinking]
		But you'd eventually love her.

		[THEO left excited]
		She's a {~}literal{/~} rockstar.

		[MADELINE right normal]
		She's a musician?
		That's so cool!

		[THEO left thinking]
		Okay, she's not {~}literally{/~} a literal rockstar.

		[THEO left normal]
		{+ALEX} is just... amazing at everything.
		She's studying to be a civil rights lawyer.

		[MADELINE right normal]
		Wow!

		[MADELINE right distracted]
		How do I remind you of her?

		[THEO left wtf]
		You both live so deep inside your own heads.

		[MADELINE right distracted]
		Oh...

		[THEO left thinking]
		{+ALEX} has this amazing internal compass.

		[THEO left normal]
		It's obvious that she'll get where she needs to be.
		I can see that in you too.

		[THEO left wtf]
		I wish I could say the same for myself.
		
	CH6_THEO_ASK_WHY=
		[MADELINE right distracted]
		Your sister sounds great. I really remind you of her?
	CH6_THEO_SAY_WHY=
		[MADELINE right distracted]
		Your sister sounds great. I really remind you of her?

		[THEO left thinking]
		Are you kidding me?

		[THEO left excited]
		You're the one who's {~}dead set{/~}{n}on climbing this {+MOUNTAIN}.

		[THEO left thinking]
		And you {~}{>> .3}don't even know why.{>>}{/~}

		[THEO left excited]
		That's classic {+ALEX}.

		[MADELINE right distracted]
		...

		[THEO left thinking]
		I'm just teasing you.

		[THEO left normal]
		Why {~}are{/~} you climbing the {+MOUNTAIN}, anyways?

		[MADELINE right distracted]
		You're right, I don't even know why.

		[MADELINE right sad]
		I just{0.4} had to get out of my {*}head.{/*}
		I'm stuck in a cycle.

		[THEO left normal]
		You're preaching to the choir here.
		I've had many a soul-destroying day job.

		[MADELINE right sad]
		Work is fine actually, I just...

		[MADELINE right distracted]
		...

		[MADELINE right upset]
		I'm going crazy.
		I can't stop thinking about{n}dumb crap that doesn't matter.

		[MADELINE right sad]
		My brain fixates on these stupid {.4}{>> .3}{*}things{/*}{>>}{.4}{n}that happened forever ago.

		[MADELINE right angry]
		I should be {*}over them.{/*} 
		{*}None of it even matters.{/*}

		{trigger 0 Wait a bit}

		[MADELINE right distracted]
		...
		I'm good at keeping up appearances, but{n}the truth is I'm barely holding it together.

		[THEO left worried]
		I'm sorry, that's pretty rough stuff.
		Can I help?

		[MADELINE right sad]
		You're already helping.
		It feels good to say it out loud.

		[THEO left wtf]
		You don't talk to anyone about it?

		[MADELINE right distracted]
		No... not really.

		[MADELINE right sad]
		My mom knows I get depressed,{n}and have panic attacks.

		[MADELINE right distracted]
		That's about it.

		[THEO left thinking]
		No wonder you feel trapped.
		
		[THEO left wtf]
		How do you cope with... anything?

		[MADELINE right upset]
		I drink, mostly.
		And get mad at people on the internet.

	CH6_THEO_ASK_DEPRESSION=
		[THEO left serious]
		Would you mind talking about what depression is like?
	CH6_THEO_SAY_DEPRESSION=
		[THEO left serious]
		Would you mind talking about what depression is like?

		[MADELINE right distracted]
		...

		[MADELINE right upset]
		It sucks.

		[THEO left wtf]
		Yeah, but what does it {~}feel like?{/~}

		[THEO left serious]
		{+ALEX} struggles with it too.{n}I really want to understand.

		[THEO left normal]
		We can talk about something else if you want.

		[MADELINE right distracted]
		...
		It's like...

		[MADELINE right sad]
		I'm at the bottom of the ocean.
		I can't see anything in any direction.

		[MADELINE right distracted]
		It's claustrophobic, yet I feel exposed.
		...

		{trigger 0 Wait a bit}

		[MADELINE right sad]
		I remember feeling normal.
		But now it feels just out of{n}reach, no matter what I try.
		
		[MADELINE right distracted]
		Then again, I was probably always messed up.
		It just took something hurtful to bring it out.

		[MADELINE right upset]
		There must be something wrong with me.

		[THEO left serious]
		Whatever happened, I'm sure it's not your fault.

		{trigger 0 Wait a bit}

		[MADELINE right sad]
		I guess I thought that I could...

		[MADELINE right distracted]
		I don't know.
		I'm just floating in this abyss,{n}swimming in a random direction.

		[MADELINE right sad]
		Hoping that I find {*}something.{/*}

		[MADELINE right distracted]
		That's really why I'm here.
		...
		But I can't escape myself.

		[MADELINE right upset]
		I'm literally {*}fighting myself{/*} the entire way.

		[MADELINE right distracted]
		Maybe this is all pointless.

		{trigger 0 Wait a bit}

		[THEO left serious]
		{+MADELINE}, you {~}just{/~} saved my life.

		[THEO left wtf]
		That's not pointless.

		[MADELINE right distracted]
		Yeah...

		{trigger 0 Wait a bit}

		[THEO left wtf]
		Look, you're a good person.

		[THEO left thinking]
		You're a little intense, but you're a {~}good person.{/~}

		[THEO left wtf]
		I think you're just trying to push{n}out of that rut you're stuck in.

		[THEO left excited]
		And that's a totally legit reason to climb the {+MOUNTAIN}!

		[MADELINE right distracted]
		Maybe.

		[MADELINE right sad]
		That's... helpful.

		{trigger 0 Wait a bit}

		[THEO left normal]
		This {+PART_OF_YOU} that's haunting you,{n}maybe she comes with the territory.

		[MADELINE right upset]
		So you think I'm stuck with her forever?

		[THEO left normal]
		Well, she's stuck with you, too.

		[MADELINE right upset]
		That's {*}not{/*} helpful.

	CH6_THEO_ASK_DEFENSE=
		[THEO left wtf]
		So you want to destroy this {+PART_OF_YOU}?
	CH6_THEO_SAY_DEFENSE=
		[THEO left wtf]
		So you want to destroy this {+PART_OF_YOU}?
		Won't that hurt you, too?

		[MADELINE right sad]
		If I don't she's just going to keep bullying me.

		[MADELINE right upset]
		She says she's protecting me,{n}but that's obviously not true.

		[THEO left normal]
		Maybe she thinks she is.
		She could be some kind of...{n}twisted defense mechanism.
		
		[MADELINE right upset]
		Honestly, who cares?
		She has so much control over me.
		I hate it.

		[THEO left wtf]
		Maybe you can learn to control her instead.

		[MADELINE right distracted]
		The feather helps a lot.

		[MADELINE right sad]
		Thanks for teaching me that.

		[THEO left thinking]
		Just one of my grandpa's many nuggets of wisdom.

	CH6_THEO_ASK_VACATION=
		[THEO left thinking]
		Why not take a vacation instead?
	CH6_THEO_SAY_VACATION=
		[THEO left thinking]
		Why not take a vacation instead?

		[MADELINE right sad]
		What do you mean?

		[THEO left normal]
		Dude, you needed a change{n}so you chose to {>> .2}climb a {+MOUNTAIN}{>>}...

		[THEO left thinking]
		Why not do something relaxing instead?

		[THEO left wtf]
		Go to Hawaii, or like, {0.3}take a bath.

		[MADELINE right sad]
		...
		I guess I feel like I need to accomplish something.

		[THEO left wtf]
		It sounds like you have{n}enough on your plate already.

		[MADELINE right distracted]
		I guess it is kind of extreme.
		But that's how I am.
		I need something to challenge me.

		[MADELINE right sad]
		And I can't just do something a little bit.
		It's all of me, or nothing.

	CH6_THEO_ASK_FAMILY=
		[MADELINE right normal]
		What brought you to the {+MOUNTAIN}?
	CH6_THEO_SAY_FAMILY=
		[MADELINE right normal]
		How about you?
		What brought you to the {+MOUNTAIN}?

		[THEO left normal]
		I'm just kind of bumming around.
		
		[THEO left thinking]
		As usual.

		[THEO left normal]
		I started this new job in Seattle.
		I thought I {~}finally{/~} knew what I was{n}supposed to be doing with my life...

		[THEO left wtf]
		But I hated it.

		[THEO left thinking]
		So I quit after a week and hopped a bus to Canada.

		[THEO left wtf]
		I just felt this urge to...{n}get lost in the middle of nowhere.
		...
		Now that I'm saying it out loud,{n}I realize how flakey it sounds.

		[MADELINE right sad]
		It just sounds like you're under a lot of pressure.

		[THEO left thinking]
		Not really.
		Everyone is so patient with me.

		[THEO left serious]
		Though I guess I am putting a{n}lot of pressure on {~}myself.{/~}

		[THEO left wtf]
		People always think I'm comparing myself to{n}{+ALEX}, but I {~}swear{/~} that isn't the problem.
		I'm just worried that I'll never{n}figure out where I'm going.
		
		[MADELINE right distracted]
		You said you wanted to feel lost...

		[MADELINE right normal]		
		Maybe you should just embrace that for now.

		[THEO left serious]
		Maybe.

	CH6_THEO_ASK_GRANDPA=
		[MADELINE right normal]
		Are you close to your grandpa?
	CH6_THEO_SAY_GRANDPA=
		[MADELINE right normal]
		Are you close to your grandpa?

		[THEO left serious]
		Yeah... I was.

		[MADELINE right distracted]
		Oh... I'm sorry.

		[THEO left serious]
		It's okay. That's just how it is.

		[MADELINE right distracted]
		...

		[THEO left wtf]
		All I can do is stay positive.

		[THEO left serious]
		And live a meaningful life,{n}because that's what he would want.

		{trigger 0 Wait a bit}

		[MADELINE right sad]
		I'm so sorry, {+THEO}.

		[THEO left serious]
		Thanks.

	CH6_THEO_ASK_TIPS=
		[MADELINE right normal]
		What else did you learn from your grandpa?
	CH6_THEO_SAY_TIPS=
		[MADELINE right normal]
		What else did you learn from your grandpa?

		[THEO left excited]
		So much stuff!

		[THEO left normal]
		Actually, he was the one who{n}told me about {+CELESTE_MOUNTAIN}.
		He always said that this place changed his life.

		[THEO left thinking]
		After I quit my job in Seattle,{n}I realized how close I was to it.
		I felt like he was telling me to come here.

		[THEO left wtf]
		Grandpa said that the {+MOUNTAIN} was {~}"special."{/~}

		[MADELINE right sad]
		Do you think he went through the temple like us?

		[MADELINE right normal]
		Do you think he understood{n}the power of the {+MOUNTAIN}?
		
		[THEO left thinking]
		He never talked about what happened here.

		[MADELINE right distracted]
		I doubt your grandpa was as messed up as me...

		[MADELINE right sad]
		His experience was probably less... violent.

		[THEO left wtf]
		He found the {+MOUNTAIN} before I was born.
		I don't know what he was like before that.

		[THEO left serious]
		I wonder what he learned about himself here...

	CH6_THEO_ASK_TEMPLE=
		[THEO left wtf]
		Who do you think built the temple?
	CH6_THEO_SAY_TEMPLE=
		[THEO left wtf]
		Who do you think built the temple?

		[MADELINE right sad]
		It looks ancient...
		It must predate everything else on the {+MOUNTAIN}.{n}The resort, the ruins, the city...

		[THEO left serious]
		There's a lot of history here.

		[MADELINE right distracted]
		Yeah. 
		This {+MOUNTAIN} has meant so{n}many things to so many people.

		[MADELINE right normal]
		I'm starting to understand why{n}that crazy old lady lives here.

		[THEO left excited]
		You ran into her too?

		[THEO left thinking]
		What's her deal?

		[MADELINE right upset]
		I think she's just a mean person.

		[MADELINE right distracted]
		...but she does seem pretty content living out here.

	CH6_THEO_ASK_SELFIE=
		[MADELINE right normal]
		I want to remember this night...
	CH6_THEO_SAY_SELFIE=
		[MADELINE right normal]
		You know what?
		I want to remember this night...
		Let's take a selfie!

		[THEO left normal]
		I thought you'd never ask.

		{trigger 1 selfie sequence}

		[MADELINE right normal]
		Y'know despite everything,{n}I feel pretty good right now.

		[THEO left wtf]
		Wait a second...

		[THEO left excited]
		You're going to reach the summit tomorrow!

		[MADELINE right upset]
		Don't jinx it.

		[MADELINE right distracted]
		...yeah, I'm excited.

		[MADELINE right normal]
		I'm ready to put this all behind me.

		[THEO left normal]
		I'll be cheering you on.
		We should get some sleep.

		[MADELINE right normal]
		Okay, goodnight, {+THEO}.

		[MADELINE right distracted]
		Thanks for... being cool.

		[THEO left thinking]
		What can I say? It comes naturally.

	CH6_THEO_ASK_SLEEP=
		[MADELINE right distracted]
		I should get some sleep.
	CH6_THEO_SAY_SLEEP=
		[MADELINE right distracted]
		I should get some sleep.

		[THEO left thinking]
		Oh, are you sure you don't want to keep talking?

		[THEO left normal]
		I'm tired too, but we have a lot to talk about.

	CH6_THEO_ASK_SLEEP_CONFIRM=
		[MADELINE right sad]
		Yeah, sorry, I'm really tired.
	CH6_THEO_SAY_SLEEP_CONFIRM=
		[MADELINE right sad]
		Yeah, sorry, I'm really tired.

		{+CH6_THEO_SAY_SELFIE}

	CH6_THEO_ASK_SLEEP_CANCEL=
		[MADELINE right normal]
		You're right, I can sleep later.
	CH6_THEO_SAY_SLEEP_CANCEL=
		[MADELINE right sad]
		You're right, I can sleep later.

	CH6_DREAMING=
		[MADELINE left normal]
		The northern lights are so beautiful.

		[BADELINE right worried]
		Yeah... they are...
		...

		[BADELINE right worriedAlt]
		Where are we?

		[MADELINE left sad]
		We need to talk.

		[BADELINE right worried]
		...okay.

		[MADELINE left distracted]
		I finally understand who you are.

		[MADELINE left sad]
		You're not my true reflection.

		[BADELINE right worriedAlt]
		...I'm not?

		[MADELINE left sad]
		You're everything I need to leave behind.
		You're cruel, paranoid, controlling...

		[BADELINE right worriedAlt]
		Why would you say that?

		[MADELINE left normal]
		No, it's okay!
		I understand now.
		I don't need you anymore.

		[BADELINE right worried]
		So you're just... abandoning me?

		[MADELINE left sad]
		I'm setting you free.

		[MADELINE left normal]
		We'll both be so much happier.

		[BADELINE right worried]
		You're so...

		[BADELINE right sad]
		so...

		[BADELINE right freakA pop]
		{silent_trigger 0 Tentacles Appear}
		...so stupid!

		[BADELINE right freakB pop]
		{silent_trigger 0 Tentacles Appear More}
		You think you can just {~}leave me behind?{/~}
		{silent_trigger 0 Tentacles Appear moooore}
		You think you can blame everything on me?
		{silent_trigger 0 Tentacles Appear EVEN MORE}
		You think you're {~}above{/~} me!?

		[BADELINE right freakC pop]
		{silent_trigger 1 Tentacles grab Madeline}
		{!}{*}ANSWER ME!{/*}{/!}

		[MADELINE left panic]
		Calm down, please...

		{trigger 4 start circling the player}
		[BADELINE right freakC_cont]
		{!}{*}Calm down!?{/*}{/!}

		[MADELINE left determinedclosed]
		Breathe, {+MADELINE}.
		Use the feather.

		{trigger 2 Feather minigame}

		[BADELINE right freakBAlt]
		You're going to {~}think about a feather{/~} to stop me?

		{trigger 3 Destroy feather minigame}

		[BADELINE right freakBAlt]
		You are not {*}above me.{/*}
		And you {*}can't{/*} climb this {+MOUNTAIN}.

		[BADELINE right freakCAlt pop]
		It's time to accept that.

	CH6_THEO_WATCHOUT=
		[THEO left worried]
		{+MADELINE}, what's happening!?

	CH6_REFLECT_AFTER=
		[MADELINE left sad]
		I was so close.

		[MADELINE left panic]
		It's over now.
		Why won't she leave me alone?

		[MADELINE left angry]
		I {*}hate{/*} her.
		...

		[MADELINE left distracted]
		...
		But she's {+PART_OF_ME}.
		I'll never be able to get rid of her.

		[MADELINE left sad]
		And she was right.
		I couldn't climb the {+MOUNTAIN}.

	CH6_OLDLADY=
		[GRANNY right normal]
		Oh, hello again.

		[MADELINE left upset]
		Of course you're here.

		{trigger 0 Zoom in}

		[GRANNY right mock]
		Callin' it quits I see.
		
		[MADELINE left upset]
		No, I fell.
		It's over.

		[GRANNY right normal]
		That's probably for the best.
		The {+MOUNTAIN} doesn't pull any punches.

		[MADELINE left upset]
		Yeah, I get it. 
		I wasn't strong enough to climb your stupid {+MOUNTAIN}.

		[MADELINE left distracted]
		You can laugh at me again if you want.

		{trigger 1 Start laughing}
		
		[MADELINE left upset]
		I didn't mean actually laugh...

		{trigger 2 Stop laughing}
		
		[GRANNY right normal]
		Sometimes you gotta know when to throw in the towel.
		You'll get over it.

		{trigger 3 Maddy walks right}
		
		[MADELINE left angry]
		You know what?
		I had a lot of time to think,{n}climbing out of this cave...	
		And I'm already {*}over it.{/*}

		{trigger 4 Maddy walks left}

		[MADELINE left upset flip]
		That {0.4}{+PART_OF_ME}{0.4} was right, I can't do this.

		[MADELINE left panic flip]
		I'll just... go home to my sad life{n}and {.4}be miserable forever.

		{trigger 5 Wait a bit}
		
		[GRANNY right normal]
		You clearly aren't over it.

		{trigger 6 Maddy turns right}
		
		[MADELINE left upset]
		Shut up, I know.

		[MADELINE left distracted]
		I don't want to give up...
		But no matter how hard I try, she{n}sabotages me every step of the way.
		
		[GRANNY right normal]
		A lot of kids come here to climb{n}this {+mountain}, only to give up.
		It's a shame that you fell,{n}I was starting to think you'd make it.

		[MADELINE left sad]
		What makes me so special?

		[GRANNY right normal]
		I've never met someone so angry at themself.

		{trigger 1 Start lauging}

		[GRANNY right laugh]
		Honestly, I thought you'd reach{n}the summit just to spite yourself.

		[MADELINE left upset]
		Gee, thanks.

		{trigger 2 Stop laughing}

		[GRANNY right normal]
		This girl you're talking about,{n}it sounds like she's holding you back.
		Talk to her.
		Figure out why she's so scared.
		
		[MADELINE left sad]
		You think she's... scared?

		[MADELINE left distracted]
		I guess I never thought of it that way.
		
		[GRANNY right normal]
		Stop wasting both of our time and {~}ask her.{/~}
		What have you got to lose?

	CH6_OLDLADY_B=
		[MADELINE left sad]
		I don't know how to find her...

		[GRANNY right normal]
		She's {+PART_OF_YOU}, right?
		If you look for her, she won't take long to find.

		[MADELINE left upset]
		...so you know about the {+MOUNTAIN}'s power.

		[GRANNY right normal]
		Of course I know, I live here.
		I tried to warn you.

		[MADELINE left upset]
		You need to work on your messaging.

		[GRANNY right normal]
		A glimpse at the truth is good for people.
		Even if most can't accept what they see.
		There's no shame in running back{n}to your car and driving away.
		Some day you'll be ready,{n}then you'll come back.

		[MADELINE left distracted]
		...
		No.

		[MADELINE left sad]
		I'm going to see this through.
		No more running.

		[GRANNY right normal]
		I thought so.
		Good luck.

	CH6_OLDLADY_C=
		[MADELINE left sad]
		How can you stand living here?
		Isn't it hard to deal with this all the time?

		[GRANNY right normal]
		It's true, you never really get used to it.
		But it keeps me sharp.
		I like that about it.

		[MADELINE left sad]
		But the {+MOUNTAIN} is so... confrontational.

		[GRANNY right normal]
		Sure, it doesn't beat around the bush.
		{+CELESTE_MOUNTAIN} is a place of healing, dear.
		The first step of healing{n}is confronting the problem.
		It's never easy.

		[MADELINE left upset]
		Tell me about it.

	CH6_BOSS_START=
		[BADELINE right angry flip]
		Looking for me?
		I thought you were done with me.

		[MADELINE left sad]
		That was a mistake.
		I'm sorry.

		[BADELINE right scoff flip]
		You think you've got it {~}all figured out.{/~}

		[BADELINE right angry flip]
		You think you don't need me.
		
		[MADELINE left upset]
		I said I'm sorry.

		[MADELINE left sad]
		We need to move past this.

		{trigger 0 Badeline floats, zooms in}

		[BADELINE right yell]
		You expect me to trust you?

		[MADELINE left angry]
		You aren't innocent here either.
		...

		[MADELINE left determinedclosed]
		But I know you're scared.
		
		{trigger 1 Maddy steps forward}
		
		[MADELINE left sad]
		Look, we're at rock bottom.
		There's no point in fighting.

